Wall time,Step,Value
1668345957.5771272,128,-433.7452087402344
1668345957.6010299,225,-169.9554901123047
1668345957.6279814,323,-143.02255249023438
1668345957.6469376,399,-129.5663299560547
1668345957.6688464,473,-104.26342010498047
1668345957.6927826,571,-160.4156494140625
1668345957.7232645,686,-186.83013916015625
1668345957.7601986,802,-336.001220703125
1668345957.7850995,885,-521.2298583984375
1668345957.820006,986,-180.92413330078125
1668345957.841947,1083,-248.0207977294922
1668345957.8648863,1168,-392.5715637207031
1668345957.8858593,1240,-82.86263275146484
1668345957.9257226,1369,-109.51319885253906
1668345957.9496589,1460,-298.4057922363281
1668345957.9666145,1520,-57.564693450927734
1668345957.9925447,1611,-414.1689453125
1668345958.0125039,1686,-190.1231689453125
1668345958.0464,1801,-368.4089050292969
1668345958.086294,1935,-344.1557312011719
1668345958.1192062,2034,-487.8527526855469
1668345958.1820385,2142,-215.998779296875
1668345958.2089674,2235,-525.67431640625
1668345958.2269173,2296,-98.6058120727539
1668345958.2608266,2408,-156.38705444335938
1668345958.2947361,2517,-235.24293518066406
1668345958.3196692,2600,-374.9266662597656
1668345958.338619,2660,-109.24600982666016
1668345958.3904798,2820,-141.7594757080078
1668345958.4064372,2877,-206.87913513183594
1668345958.433366,2952,-338.90966796875
1668345958.4543102,3017,-109.9916763305664
1668345958.4772496,3097,-134.52178955078125
1668345958.522129,3193,-167.14553833007812
1668345958.5600266,3290,-124.55668640136719
1668345958.587953,3386,-583.4049682617188
1668345958.6188705,3482,-441.6179504394531
1668345958.6846948,3613,-478.56182861328125
1668345958.7445345,3749,-166.50192260742188
1668345958.7794394,3814,-68.40670776367188
1668345958.8332973,3900,-103.35487365722656
1668345958.952979,4070,-141.4462432861328
1668345959.0068326,4181,-159.669677734375
1668345959.0340536,4250,-128.0699005126953
1668345959.0709534,4337,-104.10628509521484
1668345959.11883,4438,-269.0157165527344
1668345959.144758,4494,-196.60533142089844
1668345959.1936264,4593,-95.8228988647461
1668345959.2724142,4768,-370.7707214355469
1668345959.282465,4844,-90.57237243652344
1668345959.4245167,5033,-464.5498046875
1668345959.4594235,5114,-333.3166809082031
1668345959.4883459,5183,-84.45514678955078
1668345959.5292366,5257,-361.4300842285156
1668345959.573119,5347,-392.2995910644531
1668345959.6010478,5403,-113.1972427368164
1668345959.638951,5463,-330.023193359375
1668345959.6748466,5526,-101.91344451904297
1668345959.7317016,5614,-188.509033203125
1668345959.8045008,5745,-96.99263000488281
1668345959.8962572,5837,-495.7481384277344
1668345959.9421418,5906,-188.37522888183594
1668345959.9800308,5970,-79.82779693603516
1668345960.0458548,6085,-178.08326721191406
1668345960.0967188,6165,-129.98687744140625
1668345960.1605482,6248,-98.07811737060547
1668345960.2100837,6332,-296.43310546875
1668345960.257957,6413,-412.0525817871094
1668345960.328769,6521,-316.9837951660156
1668345960.4518557,6689,-150.47122192382812
1668345960.507448,6765,-105.67291259765625
1668345960.590226,6876,-348.3350830078125
1668345960.6341095,6940,-313.89495849609375
1668345960.7239044,7003,-94.8014144897461
1668345960.8977587,7125,-113.25049591064453
1668345960.9438608,7203,-114.69208526611328
1668345960.9787672,7277,-381.7480163574219
1668345961.0136733,7356,-103.81240844726562
1668345961.0834863,7468,-490.38818359375
1668345961.222124,7634,-400.28118896484375
1668345961.305892,7699,-46.78615951538086
1668345961.3996415,7793,-356.045654296875
1668345961.4325545,7856,-99.23705291748047
